concept,description_concept,type_concept,term,type_term,description_term,generateur,prefix,gender,conjugaison,ehasElisionlision,accordFemSing,accordFemPlu,accordMasSing,accordMasPlu
,,,generateur:[m_appétit],generateur,,,,,,,,,,
m_applaudissement,,m,substantif:applaudissement  s masculin,substantif,,,applaudissement,masculin,,1,,,,s
m_appoint,,m,substantif:appoint  s masculin,substantif,,,appoint,masculin,,1,,,,s
m_apprenti,,m,substantif:apprenti  s masculin,substantif,,,apprenti,masculin,,1,,,,s
m_approbation 1,,m,substantif:acceptation  s féminin,substantif,,,acceptation,féminin,,1,,s,,
,,,substantif:approbation  s féminin,substantif,,,approbation,féminin,,1,,s,,
m_approvisionnement,,m,substantif:approvisionnement  s masculin,substantif,,,approvisionnement,masculin,,1,,,,s
m_approximation,,m,substantif:approximation  s féminin,substantif,,,approximation,féminin,,1,,s,,
m_arbre 5,,m,substantif:noisetier  s masculin,substantif,,,noisetier,masculin,,0,,,,s
,,,substantif:noyer  s masculin,substantif,,,noyer,masculin,,0,,,,s
,,,substantif:prunier  s masculin,substantif,,,prunier,masculin,,0,,,,s
,,,substantif:sorbier  s masculin,substantif,,,sorbier,masculin,,0,,,,s
m_arcade,,m,substantif:arcade  s féminin,substantif,,,arcade,féminin,,1,,s,,
m_archevêque,,m,substantif:archevêque  s masculin,substantif,,,archevêque,masculin,,1,,,,s
m_architecte,,m,substantif:architecte  s masculin,substantif,,,architecte,masculin,,1,,,,s
m_arçon,,m,substantif:arçon  s masculin,substantif,,,arçon,masculin,,1,,,,s
m_argile,,m,substantif:argile  s féminin,substantif,,,argile,féminin,,1,,s,,
m_aristocratie,,m,substantif:aristocratie  s féminin,substantif,,,aristocratie,féminin,,1,,s,,
m_arme 1,,m,substantif:revolver  s masculin,substantif,,,revolver,masculin,,0,,,,s
,,,substantif: fusil d'assaut fusils d'assaut masculin,substantif,,,,masculin,,0,,,fusil d'assaut,fusils d'assaut
,,,substantif: fusil-mitrailleur fusils-mitrailleurs masculin,substantif,,,,masculin,,0,,,fusil-mitrailleur,fusils-mitrailleurs
,,,substantif: pistolet-mitrailleur pistolets-mitrailleurs masculin,substantif,,,,masculin,,0,,,pistolet-mitrailleur,pistolets-mitrailleurs
,,,substantif:fusil  s masculin,substantif,,,fusil,masculin,,0,,,,s
,,,substantif:kalachnikov   féminin,substantif,,,kalachnikov,féminin,,0,,,,
,,,substantif:mitraillette  s féminin,substantif,,,mitraillette,féminin,,0,,s,,
,,,substantif:mousquet  s masculin,substantif,,,mousquet,masculin,,0,,,,s
,,,substantif:pistolet  s masculin,substantif,,,pistolet,masculin,,0,,,,s
,,,generateur:[m_revolver],generateur,,,,,,,,,,
m_armée,,m,substantif:armée  s féminin,substantif,,,armée,féminin,,1,,s,,
m_armure 1,,m,substantif:brigandine  s féminin,substantif,,,brigandine,féminin,,0,,s,,
,,,substantif:cuirasse  s féminin,substantif,,,cuirasse,féminin,,0,,s,,
,,,substantif:armure  s féminin,substantif,,,armure,féminin,,1,,s,,
,,,substantif:haubert  s masculin,substantif,,,haubert,masculin,,1,,,,s
,,,generateur:[m_broigne],generateur,,,,,,,,,,
m_aromates 1,,m,substantif:Benoîte  s féminin,substantif,,,Benoîte,féminin,,0,,s,,
,,,substantif:Pimprenelle  s féminin,substantif,,,Pimprenelle,féminin,,0,,s,,
,,,substantif:Verveine  s féminin,substantif,,,Verveine,féminin,,0,,s,,
,,,substantif:Alliaire  s féminin,substantif,,,Alliaire,féminin,,1,,s,,
,,,substantif:coco  s masculin,substantif,,,coco,masculin,,0,,,,s
,,,substantif: basilic chinois basilics chinois masculin,substantif,,,,masculin,,0,,,basilic chinois,basilics chinois
,,,substantif: basilic commun basilics communs masculin,substantif,,,,masculin,,0,,,basilic commun,basilics communs
,,,substantif: bois d'Anis bois d'Anis masculin,substantif,,,,masculin,,0,,,bois d'Anis,bois d'Anis
,,,substantif: bon Henri bons Henri masculin,substantif,,,,masculin,,0,,,bon Henri,bons Henri
,,,substantif: café de Chine cafés de Chine masculin,substantif,,,,masculin,,0,,,café de Chine,cafés de Chine
,,,substantif: ceinture de Saint-Jean ceintures de Saint-Jean masculin,substantif,,,,masculin,,0,,,ceinture de Saint-Jean,ceintures de Saint-Jean
,,,substantif: céleri des marais céleris des marais masculin,substantif,,,,masculin,,0,,,céleri des marais,céleris des marais
,,,substantif: céleri perpétuel céleris perpétuels masculin,substantif,,,,masculin,,0,,,céleri perpétuel,céleris perpétuels
,,,substantif: céleri sauvage céleris sauvages masculin,substantif,,,,masculin,,0,,,céleri sauvage,céleris sauvages
,,,substantif: cerfeuil bâtard cerfeuils bâtards masculin,substantif,,,,masculin,,0,,,cerfeuil bâtard,cerfeuils bâtards
,,,substantif: cerfeuil Chinois cerfeuils Chinois masculin,substantif,,,,masculin,,0,,,cerfeuil Chinois,cerfeuils Chinois
,,,substantif: cerfeuil commun cerfeuils communs masculin,substantif,,,,masculin,,0,,,cerfeuil commun,cerfeuils communs
,,,substantif: cerfeuil d'Espagne cerfeuils d'Espagne masculin,substantif,,,,masculin,,0,,,cerfeuil d'Espagne,cerfeuils d'Espagne
,,,substantif: cerfeuil musqué cerfeuils musqués masculin,substantif,,,,masculin,,0,,,cerfeuil musqué,cerfeuils musqués
,,,substantif: cerfeuil odorant cerfeuils odorants masculin,substantif,,,,masculin,,0,,,cerfeuil odorant,cerfeuils odorants
,,,substantif: cerisier de Sainte-Lucie cerisiers de Sainte-Lucie masculin,substantif,,,,masculin,,0,,,cerisier de Sainte-Lucie,cerisiers de Sainte-Lucie
,,,substantif: chardon étoile fétide chardons étoile fétides masculin,substantif,,,,masculin,,0,,,chardon étoile fétide,chardons étoile fétides
,,,substantif: clou de girofle clous de girofle masculin,substantif,,,,masculin,,0,,,clou de girofle,clous de girofle
,,,substantif: cornouiller mâle cornouillers mâles masculin,substantif,,,,masculin,,0,,,cornouiller mâle,cornouillers mâles
,,,substantif: cran de Bretagne crans de Bretagne masculin,substantif,,,,masculin,,0,,,cran de Bretagne,crans de Bretagne
,,,substantif: cranson de Bretagne cransons de Bretagne masculin,substantif,,,,masculin,,0,,,cranson de Bretagne,cransons de Bretagne
,,,substantif: cranson officinal cransons officinal masculin,substantif,,,,masculin,,0,,,cranson officinal,cransons officinal
,,,substantif: cresson Alénois cressons Alénois masculin,substantif,,,,masculin,,0,,,cresson Alénois,cressons Alénois
,,,substantif: cresson d'Inde cressons d'Inde masculin,substantif,,,,masculin,,0,,,cresson d'Inde,cressons d'Inde
,,,substantif: cresson de fontaine cressons de fontaine masculin,substantif,,,,masculin,,0,,,cresson de fontaine,cressons de fontaine
,,,substantif: cresson du Mexique cressons du Mexique masculin,substantif,,,,masculin,,0,,,cresson du Mexique,cressons du Mexique
,,,substantif: cresson du Pérou cressons du Pérou masculin,substantif,,,,masculin,,0,,,cresson du Pérou,cressons du Pérou
,,,substantif: cumin des prés cumins des prés masculin,substantif,,,,masculin,,0,,,cumin des prés,cumins des prés
,,,substantif: cumin du Maroc cumins du Maroc masculin,substantif,,,,masculin,,0,,,cumin du Maroc,cumins du Maroc
,,,substantif: cumin noir cumins noirs masculin,substantif,,,,masculin,,0,,,cumin noir,cumins noirs
,,,substantif: estragon du Mexique estragons du Mexique masculin,substantif,,,,masculin,,0,,,estragon du Mexique,estragons du Mexique
,,,substantif: faux poivre faux poivres masculin,substantif,,,,masculin,,0,,,faux poivre,faux poivres
,,,substantif: fenouil bâtard fenouils bâtards masculin,substantif,,,,masculin,,0,,,fenouil bâtard,fenouils bâtards
,,,substantif: fenouil de Chine fenouils de Chine masculin,substantif,,,,masculin,,0,,,fenouil de Chine,fenouils de Chine
,,,substantif: galanga Camphré galangas Camphré masculin,substantif,,,,masculin,,0,,,galanga Camphré,galangas Camphré
,,,substantif: galè odorant galès odorants masculin,substantif,,,,masculin,,0,,,galè odorant,galès odorants
,,,substantif: gaya à tige simple gayas à tige simple masculin,substantif,,,,masculin,,0,,,gaya à tige simple,gayas à tige simple
,,,substantif: gingembre chinois gingembres chinois masculin,substantif,,,,masculin,,0,,,gingembre chinois,gingembres chinois
,,,substantif: grand origan grands origans masculin,substantif,,,,masculin,,0,,,grand origan,grands origans
,,,substantif: jonc odorant joncs odorants masculin,substantif,,,,masculin,,0,,,jonc odorant,joncs odorants
,,,substantif: laurier d'Indonésie lauriers d'Indonésie masculin,substantif,,,,masculin,,0,,,laurier d'Indonésie,lauriers d'Indonésie
,,,substantif: laurier des Indes lauriers des Indes masculin,substantif,,,,masculin,,0,,,laurier des Indes,lauriers des Indes
,,,substantif: laurier noble lauriers nobles masculin,substantif,,,,masculin,,0,,,laurier noble,lauriers nobles
,,,substantif: panicaut fétide panicauts fétides masculin,substantif,,,,masculin,,0,,,panicaut fétide,panicauts fétides
,,,substantif: paprika de Hongrie paprikas de Hongrie masculin,substantif,,,,masculin,,0,,,paprika de Hongrie,paprikas de Hongrie
,,,substantif: pavot à opium pavots à opium masculin,substantif,,,,masculin,,0,,,pavot à opium,pavots à opium
,,,substantif: pavot des jardins pavots des jardins masculin,substantif,,,,masculin,,0,,,pavot des jardins,pavots des jardins
,,,substantif: pavot somnifère pavots somnifères masculin,substantif,,,,masculin,,0,,,pavot somnifère,pavots somnifères
,,,substantif: persil arabe persils arabes masculin,substantif,,,,masculin,,0,,,persil arabe,persils arabes
,,,substantif: persil des marais persils des marais masculin,substantif,,,,masculin,,0,,,persil des marais,persils des marais
,,,substantif: petit poivre petits poivres masculin,substantif,,,,masculin,,0,,,petit poivre,petits poivres
,,,substantif: pied d'âne pieds d'âne masculin,substantif,,,,masculin,,0,,,pied d'âne,pieds d'âne
,,,substantif: pied de poulet pieds de poulet masculin,substantif,,,,masculin,,0,,,pied de poulet,pieds de poulet
,,,substantif: pignon de pin pignons de pin masculin,substantif,,,,masculin,,0,,,pignon de pin,pignons de pin
,,,substantif: piment annuel piments annuel masculin,substantif,,,,masculin,,0,,,piment annuel,piments annuel
,,,substantif: piment de Cayenne piments de Cayenne masculin,substantif,,,,masculin,,0,,,piment de Cayenne,piments de Cayenne
,,,substantif: piment de la Jamaïque piments de la Jamaïque masculin,substantif,,,,masculin,,0,,,piment de la Jamaïque,piments de la Jamaïque
,,,substantif: piment des abeilles piments des abeilles masculin,substantif,,,,masculin,,0,,,piment des abeilles,piments des abeilles
,,,substantif: piment des ruches piments des ruches masculin,substantif,,,,masculin,,0,,,piment des ruches,piments des ruches
,,,substantif: piment doux piments doux masculin,substantif,,,,masculin,,0,,,piment doux,piments doux
,,,substantif: piment doux d'Espagne piments doux d'Espagne masculin,substantif,,,,masculin,,0,,,piment doux d'Espagne,piments doux d'Espagne
,,,substantif: piment enragé piments enragés masculin,substantif,,,,masculin,,0,,,piment enragé,piments enragés
,,,substantif: piment fort piments forts masculin,substantif,,,,masculin,,0,,,piment fort,piments forts
,,,substantif: piment long piments longs masculin,substantif,,,,masculin,,0,,,piment long,piments longs
,,,substantif: piment noir de Guinée piments noirs de Guinée masculin,substantif,,,,masculin,,0,,,piment noir de Guinée,piments noirs de Guinée
,,,substantif: piment-oiseau piments-oiseau masculin,substantif,,,,masculin,,0,,,piment-oiseau,piments-oiseau
,,,substantif: piper cuba pipers cuba masculin,substantif,,,,masculin,,0,,,piper cuba,pipers cuba
,,,substantif: poivre à queue poivres à queue masculin,substantif,,,,masculin,,0,,,poivre à queue,poivres à queue
,,,substantif: poivre aromatique poivres aromatiques masculin,substantif,,,,masculin,,0,,,poivre aromatique,poivres aromatiques
,,,substantif: poivre blanc poivres blancs masculin,substantif,,,,masculin,,0,,,poivre blanc,poivres blancs
,,,substantif: poivre Brésilien poivres Brésiliens masculin,substantif,,,,masculin,,0,,,poivre Brésilien,poivres Brésiliens
,,,substantif: poivre d'Amérique poivres d'Amérique masculin,substantif,,,,masculin,,0,,,poivre d'Amérique,poivres d'Amérique
,,,substantif: poivre d'eau poivres d'eau masculin,substantif,,,,masculin,,0,,,poivre d'eau,poivres d'eau
,,,substantif: poivre d'Espagne poivres d'Espagne masculin,substantif,,,,masculin,,0,,,poivre d'Espagne,poivres d'Espagne
,,,substantif: poivre de Bourbon poivres de Bourbon masculin,substantif,,,,masculin,,0,,,poivre de Bourbon,poivres de Bourbon
,,,substantif: poivre de Cayenne poivres de Cayenne masculin,substantif,,,,masculin,,0,,,poivre de Cayenne,poivres de Cayenne
,,,substantif: poivre de Guinée poivres de Guinée masculin,substantif,,,,masculin,,0,,,poivre de Guinée,poivres de Guinée
,,,substantif: poivre de Java poivres de Java masculin,substantif,,,,masculin,,0,,,poivre de Java,poivres de Java
,,,substantif: poivre de la Jamaïque poivres de la Jamaïque masculin,substantif,,,,masculin,,0,,,poivre de la Jamaïque,poivres de la Jamaïque
,,,substantif: poivre de la Réunion poivres de la Réunion masculin,substantif,,,,masculin,,0,,,poivre de la Réunion,poivres de la Réunion
,,,substantif: poivre de Sénégal poivres de Sénégal masculin,substantif,,,,masculin,,0,,,poivre de Sénégal,poivres de Sénégal
,,,substantif: poivre des moines poivres des moines masculin,substantif,,,,masculin,,0,,,poivre des moines,poivres des moines
,,,substantif: poivre des murailles poivres des murailles masculin,substantif,,,,masculin,,0,,,poivre des murailles,poivres des murailles
,,,substantif: poivre du Kissi poivres du Kissi masculin,substantif,,,,masculin,,0,,,poivre du Kissi,poivres du Kissi
,,,substantif: poivre du Népal poivres du Népal masculin,substantif,,,,masculin,,0,,,poivre du Népal,poivres du Népal
,,,substantif: poivre du Pérou poivres du Pérou masculin,substantif,,,,masculin,,0,,,poivre du Pérou,poivres du Pérou
,,,substantif: poivre du Setchuan poivres du Setchuan masculin,substantif,,,,masculin,,0,,,poivre du Setchuan,poivres du Setchuan
,,,substantif: poivre du Sichuan poivres du Sichuan masculin,substantif,,,,masculin,,0,,,poivre du Sichuan,poivres du Sichuan
,,,substantif: poivre long poivres longs masculin,substantif,,,,masculin,,0,,,poivre long,poivres longs
,,,substantif: poivre maniguette poivres maniguette masculin,substantif,,,,masculin,,0,,,poivre maniguette,poivres maniguette
,,,substantif: poivre marron poivres marrons masculin,substantif,,,,masculin,,0,,,poivre marron,poivres marrons
,,,substantif: poivre Mexicain poivres mexicains masculin,substantif,,,,masculin,,0,,,poivre Mexicain,poivres mexicains
,,,substantif: poivre rose poivres roses masculin,substantif,,,,masculin,,0,,,poivre rose,poivres roses
,,,substantif: poivre rouge poivres rouges masculin,substantif,,,,masculin,,0,,,poivre rouge,poivres rouges
,,,substantif: poivre sauvage poivres sauvages masculin,substantif,,,,masculin,,0,,,poivre sauvage,poivres sauvages
,,,substantif: poivre vert poivres verts masculin,substantif,,,,masculin,,0,,,poivre vert,poivres verts
,,,substantif: poncire commun poncires communs masculin,substantif,,,,masculin,,0,,,poncire commun,poncires communs
,,,substantif: raifort du Japon raiforts du Japon masculin,substantif,,,,masculin,,0,,,raifort du Japon,raiforts du Japon
,,,substantif: raifort sauvage raiforts sauvages masculin,substantif,,,,masculin,,0,,,raifort sauvage,raiforts sauvages
,,,substantif: ras el hanout ras el hanout masculin,substantif,,,,masculin,,0,,,ras el hanout,ras el hanout
,,,substantif: rezza paprika rezza paprika masculin,substantif,,,,masculin,,0,,,rezza paprika,rezza paprika
,,,substantif: rhizome de Zédoaire rhizomes de Zédoaire masculin,substantif,,,,masculin,,0,,,rhizome de Zédoaire,rhizomes de Zédoaire
,,,substantif: roseau aromatique roseaux aromatiques masculin,substantif,,,,masculin,,0,,,roseau aromatique,roseaux aromatiques
,,,substantif: rosmarin encens rosmarins encens masculin,substantif,,,,masculin,,0,,,rosmarin encens,rosmarins encens
,,,substantif: safran bambou safrans bambou masculin,substantif,,,,masculin,,0,,,safran bambou,safrans bambou
,,,substantif: safran bâtard safrans bâtard masculin,substantif,,,,masculin,,0,,,safran bâtard,safrans bâtard
,,,substantif: safran cooli safrans cooli masculin,substantif,,,,masculin,,0,,,safran cooli,safrans cooli
,,,substantif: safran des Indes safrans des Indes masculin,substantif,,,,masculin,,0,,,safran des Indes,safrans des Indes
,,,substantif: safran des prés safrans des prés masculin,substantif,,,,masculin,,0,,,safran des prés,safrans des prés
,,,substantif: safran des teinturiers safrans des teinturiers masculin,substantif,,,,masculin,,0,,,safran des teinturiers,safrans des teinturiers
,,,substantif: sédum âcre sédums âcres masculin,substantif,,,,masculin,,0,,,sédum âcre,sédums âcres
,,,substantif: sésame sauvage sésames sauvages masculin,substantif,,,,masculin,,0,,,sésame sauvage,sésames sauvages
,,,substantif: sorbier des oiseleurs sorbiers des oiseleurs masculin,substantif,,,,masculin,,0,,,sorbier des oiseleurs,sorbiers des oiseleurs
,,,substantif: souchet de Babylone souchets de Babylone masculin,substantif,,,,masculin,,0,,,souchet de Babylone,souchets de Babylone
,,,substantif: souchet de Malabar souchets de Malabar masculin,substantif,,,,masculin,,0,,,souchet de Malabar,souchets de Malabar
,,,substantif: souchet des Indes souchets des Indes masculin,substantif,,,,masculin,,0,,,souchet des Indes,souchets des Indes
,,,substantif: souchet long souchets longs masculin,substantif,,,,masculin,,0,,,souchet long,souchets longs
,,,substantif: souchet odorant souchets odorants masculin,substantif,,,,masculin,,0,,,souchet odorant,souchets odorants
,,,substantif: sumac des corroyeurs sumacs des corroyeurs masculin,substantif,,,,masculin,,0,,,sumac des corroyeurs,sumacs des corroyeurs
,,,substantif: sureau noir sureaux noirs masculin,substantif,,,,masculin,,0,,,sureau noir,sureaux noirs
,,,substantif: thé d'Oswego thés d'Oswego masculin,substantif,,,,masculin,,0,,,thé d'Oswego,thés d'Oswego
,,,substantif:galanga  s masculin,substantif,,,galanga,masculin,,0,,,,s
,,,substantif:oignon  s masculin,substantif,,,oignon,masculin,,0,,,,s
,,,substantif: thé de France thés de France masculin,substantif,,,,masculin,,0,,,thé de France,thés de France
,,,substantif: thé de Grèce thés de Grèce masculin,substantif,,,,masculin,,0,,,thé de Grèce,thés de Grèce
,,,substantif: thé de la Grèce thés de la Grèce masculin,substantif,,,,masculin,,0,,,thé de la Grèce,thés de la Grèce
,,,substantif: thé de Provence thés de Provence masculin,substantif,,,,masculin,,0,,,thé de Provence,thés de Provence
,,,substantif: thé du Mexique thés du Mexique masculin,substantif,,,,masculin,,0,,,thé du Mexique,thés du Mexique
,,,substantif: thé rouge thés rouges masculin,substantif,,,,masculin,,0,,,thé rouge,thés rouges
,,,substantif: thym bâtard thyms bâtards masculin,substantif,,,,masculin,,0,,,thym bâtard,thyms bâtards
,,,substantif: thym de berger thyms de berger masculin,substantif,,,,masculin,,0,,,thym de berger,thyms de berger
,,,substantif: thym ordinaire thyms ordinaires masculin,substantif,,,,masculin,,0,,,thym ordinaire,thyms ordinaires
,,,substantif: thym sauvage thyms sauvages masculin,substantif,,,,masculin,,0,,,thym sauvage,thyms sauvages
,,,substantif: baie rose de Bourbon baies roses de Bourbon féminin,substantif,,,,féminin,,0,baie rose de Bourbon,baies roses de Bourbon,,
,,,substantif: barbarée commune barbarées communes féminin,substantif,,,,féminin,,0,barbarée commune,barbarées communes,,
,,,substantif: borrache officinal borraches officinales féminin,substantif,,,,féminin,,0,borrache officinal,borraches officinales,,
,,,substantif: canelle de Padang canelles de Padang féminin,substantif,,,,féminin,,0,canelle de Padang,canelles de Padang,,
,,,substantif: canelle de Saïgon canelles de Saïgon féminin,substantif,,,,féminin,,0,canelle de Saïgon,canelles de Saïgon,,
,,,substantif: canne aromatique cannes aromatiques féminin,substantif,,,,féminin,,0,canne aromatique,cannes aromatiques,,
,,,substantif: cannelle de Chine cannelles de Chine féminin,substantif,,,,féminin,,0,cannelle de Chine,cannelles de Chine,,
,,,substantif: cannelle de Cochinchine cannelles de Cochinchine féminin,substantif,,,,féminin,,0,cannelle de Cochinchine,cannelles de Cochinchine,,
,,,substantif: cardamome du Népal cardamomes du Népal féminin,substantif,,,,féminin,,0,cardamome du Népal,cardamomes du Népal,,
,,,substantif: cardamome noire cardamomes noires féminin,substantif,,,,féminin,,0,cardamome noire,cardamomes noires,,
,,,substantif: ciboulette des ours ciboulettes des ours féminin,substantif,,,,féminin,,0,ciboulette des ours,ciboulettes des ours,,
,,,substantif: citronnelle garde-robe citronnelles garde-robe féminin,substantif,,,,féminin,,0,citronnelle garde-robe,citronnelles garde-robe,,
,,,substantif: consoude officinale consoudes officinales féminin,substantif,,,,féminin,,0,consoude officinale,consoudes officinales,,
,,,substantif: coriandre Vietnamienne coriandres Vietnamiennes féminin,substantif,,,,féminin,,0,coriandre Vietnamienne,coriandres Vietnamiennes,,
,,,substantif: crithme marine crithmse marines féminin,substantif,,,,féminin,,0,crithme marine,crithmse marines,,
,,,substantif: férule persique férules persiques féminin,substantif,,,,féminin,,0,férule persique,férules persiques,,
,,,substantif: feuille de bible feuilles de bible féminin,substantif,,,,féminin,,0,feuille de bible,feuilles de bible,,
,,,substantif: feuille de Curry feuilles de Curry féminin,substantif,,,,féminin,,0,feuille de Curry,feuilles de Curry,,
,,,substantif: fève de Tonka fèves de Tonka féminin,substantif,,,,féminin,,0,fève de Tonka,fèves de Tonka,,
,,,substantif: fleur d'amour fleurs d'amour féminin,substantif,,,,féminin,,0,fleur d'amour,fleurs d'amour,,
,,,substantif: fleur de muscade fleurs de muscade féminin,substantif,,,,féminin,,0,fleur de muscade,fleurs de muscade,,
,,,substantif: fleur sanguine du Pérou fleurs sanguines du Pérou féminin,substantif,,,,féminin,,0,fleur sanguine du Pérou,fleurs sanguines du Pérou,,
,,,substantif: graine de paradis graines de paradis féminin,substantif,,,,féminin,,0,graine de paradis,graines de paradis,,
,,,substantif: graine de perroquet graines de perroquet féminin,substantif,,,,féminin,,0,graine de perroquet,graines de perroquet,,
,,,substantif: graine de Selim graines de Selim féminin,substantif,,,,féminin,,0,graine de Selim,graines de Selim,,
,,,substantif: grande ache grandes aches féminin,substantif,,,,féminin,,0,grande ache,grandes aches,,
,,,substantif: langue de boeuf langues de boeuf féminin,substantif,,,,féminin,,0,langue de boeuf,langues de boeuf,,
,,,substantif: limette acide limettes acides féminin,substantif,,,,féminin,,0,limette acide,limettes acides,,
,,,substantif: marjolaine bâtarde marjolaines bâtardes féminin,substantif,,,,féminin,,0,marjolaine bâtarde,marjolaines bâtardes,,
,,,substantif: marjolaine sauvage marjolaines sauvages féminin,substantif,,,,féminin,,0,marjolaine sauvage,marjolaines sauvages,,
,,,substantif: mélasse du pauvre mélasses du pauvre féminin,substantif,,,,féminin,,0,mélasse du pauvre,mélasses du pauvre,,
,,,substantif: mélisse des boutiques mélisses des boutiques féminin,substantif,,,,féminin,,0,mélisse des boutiques,mélisses des boutiques,,
,,,substantif: menthe anglaise menthes anglaises féminin,substantif,,,,féminin,,0,menthe anglaise,menthes anglaises,,
,,,substantif: menthe coq menthes coq féminin,substantif,,,,féminin,,0,menthe coq,menthes coq,,
,,,substantif: menthe de Notre-Dame menthes de Notre-Dame féminin,substantif,,,,féminin,,0,menthe de Notre-Dame,menthes de Notre-Dame,,
,,,substantif: menthe poivrée menthes poivrées féminin,substantif,,,,féminin,,0,menthe poivrée,menthes poivrées,,
,,,substantif: menthe pouliot menthes pouliot féminin,substantif,,,,féminin,,0,menthe pouliot,menthes pouliot,,
,,,substantif: menthe verte menthes vertes féminin,substantif,,,,féminin,,0,menthe verte,menthes vertes,,
,,,substantif: merde du diable merdes du diable féminin,substantif,,,,féminin,,0,merde du diable,merdes du diable,,
,,,substantif: moutarde blanche moutardes blanche féminin,substantif,,,,féminin,,0,moutarde blanche,moutardes blanche,,
,,,substantif: moutarde de Chine moutardes de Chine féminin,substantif,,,,féminin,,0,moutarde de Chine,moutardes de Chine,,
,,,substantif: moutarde de l'Inde moutardes de l'Inde féminin,substantif,,,,féminin,,0,moutarde de l'Inde,moutardes de l'Inde,,
,,,substantif: moutarde des Allemands moutardes des Allemands féminin,substantif,,,,féminin,,0,moutarde des Allemands,moutardes des Allemands,,
,,,substantif: moutarde des capucins moutardes des capucins féminin,substantif,,,,féminin,,0,moutarde des capucins,moutardes des capucins,,
,,,substantif: passerage cultivée passerages cultivées féminin,substantif,,,,féminin,,0,passerage cultivée,passerages cultivées,,
,,,substantif: petite oseille petites oseilles féminin,substantif,,,,féminin,,0,petite oseille,petites oseilles,,
,,,substantif: petite pimprenelle petites pimprenelles féminin,substantif,,,,féminin,,0,petite pimprenelle,petites pimprenelles,,
,,,substantif: pistache de terre pistaches de terre féminin,substantif,,,,féminin,,0,pistache de terre,pistaches de terre,,
,,,substantif: plante caméléon plantes caméléon féminin,substantif,,,,féminin,,0,plante caméléon,plantes caméléon,,
,,,substantif: poudre de sereh poudres de sereh féminin,substantif,,,,féminin,,0,poudre de sereh,poudres de sereh,,
,,,substantif: queue de pourceau queues de pourceau féminin,substantif,,,,féminin,,0,queue de pourceau,queues de pourceau,,
,,,substantif: reine de Saint-Esprit reines de Saint-Esprit féminin,substantif,,,,féminin,,0,reine de Saint-Esprit,reines de Saint-Esprit,,
,,,substantif: renouée odorante renouées odorantes féminin,substantif,,,,féminin,,0,renouée odorante,renouées odorantes,,
,,,substantif: rose du chien roses du chien féminin,substantif,,,,féminin,,0,rose du chien,roses du chien,,
,,,substantif: rose marine roses marines féminin,substantif,,,,féminin,,0,rose marine,roses marines,,
,,,substantif: rose puante roses puantes féminin,substantif,,,,féminin,,0,rose puante,roses puantes,,
,,,substantif: rue odorante rues odorantes féminin,substantif,,,,féminin,,0,rue odorante,rues odorantes,,
,,,substantif: sauge toute bonne sauges toutes bonnes féminin,substantif,,,,féminin,,0,sauge toute bonne,sauges toutes bonnes,,
,,,substantif: thériaque des pauvres thériaques des pauvres féminin,substantif,,,,féminin,,0,thériaque des pauvres,thériaques des pauvres,,
,,,substantif: thériaque des paysans thériaque des paysanss féminin,substantif,,,,féminin,,0,thériaque des paysans,thériaque des paysanss,,
,,,substantif: verveine des Indes verveines des Indes féminin,substantif,,,,féminin,,0,verveine des Indes,verveines des Indes,,
,,,substantif: verveine odorante verveines odorantes féminin,substantif,,,,féminin,,0,verveine odorante,verveines odorantes,,
,,,substantif:badiane  s féminin,substantif,,,badiane,féminin,,0,,s,,
,,,substantif:balsamite  balsamite féminin,substantif,,,balsamite,féminin,,0,,balsamite,,
,,,substantif:barbotine  s féminin,substantif,,,barbotine,féminin,,0,,s,,
,,,substantif:berberis  s masculin,substantif,,,berberis,masculin,,0,,,,s
,,,substantif:bergamote  s féminin,substantif,,,bergamote,féminin,,0,,s,,
,,,substantif:bigarade  s féminin,substantif,,,bigarade,féminin,,0,,s,,
,,,substantif:bigarde  s féminin,substantif,,,bigarde,féminin,,0,,s,,
,,,substantif:boldo  s masculin,substantif,,,boldo,masculin,,0,,,,s
,,,substantif:boucage  s masculin,substantif,,,boucage,masculin,,0,,,,s
,,,substantif:bourroche  s féminin,substantif,,,bourroche,féminin,,0,,s,,
,,,substantif:cacahuète  s féminin,substantif,,,cacahuète,féminin,,0,,s,,
,,,substantif:cacao  s masculin,substantif,,,cacao,masculin,,0,,,,s
,,,substantif:cade  s féminin,substantif,,,cade,féminin,,0,,s,,
,,,substantif:cadenelle  s féminin,substantif,,,cadenelle,féminin,,0,,s,,
,,,substantif:calament  s masculin,substantif,,,calament,masculin,,0,,,,s
,,,substantif:calendule  s féminin,substantif,,,calendule,féminin,,0,,s,,
,,,substantif:caloupilé  s masculin,substantif,,,caloupilé,masculin,,0,,,,s
,,,substantif:canéfice  s féminin,substantif,,,canéfice,féminin,,0,,s,,
,,,substantif:capotte  s féminin,substantif,,,capotte,féminin,,0,,s,,
,,,substantif:câpre  s féminin,substantif,,,câpre,féminin,,0,,s,,
,,,substantif:capucine  s féminin,substantif,,,capucine,féminin,,0,,s,,
,,,substantif:cardamome  s féminin,substantif,,,cardamome,féminin,,0,,s,,
,,,substantif:cari  s masculin,substantif,,,cari,masculin,,0,,,,s
